Property Address,Units
717 De Armas Street,3
1500-1508 Hendee Street,4
1508-1514 Hendee Street,4
1524-1530 Hendee Street,4
1532-1538 Hendee Street,4
1814-1820 Lawrence Street,4
1815-1821 Ptolemy Street,4
4200 Royal Street,6
616 France Street,12
620 France Street,11
1814 Bayou Road,3
1818 Bayou Road,3
2123-2127 Painters Street,3
2129-2123 Painters Street,3
2427 Ursulines Avenue,3
1916-1918 North Roman Street,2
1927-1929 Mandeville Street,2
2522 North Rampart Street,8
2115-2117 St. Ann Street,2
1715 Cambronne Street,4
1723 Cambronne Street,4
1727 Cambronne Street,4
1735 Cambronne Street,4
5312 Constance Street,10
1421-1425 Constance Street,3
2118-2122 Danneel Street,3
8718-8720 Willow Street,2
1738-1740 General Ogden Street,2
2331-2333 Annunciation Street,2
